profileID,speciality,fees,opentime,closetime,patient
GE52 CE87 7611 2334 6779 45,TCBI,$80.12,9:32 AM,7:36 PM,Kyrstin D'Antuoni
CY26 9877 3722 XQSP 6OXY GOCR VYTL,STRL,$60.29,9:15 AM,10:15 PM,Berenice Dubose
CH95 4751 41UQ FAVS Y0X8 P,ARRS,$97.24,9:24 AM,6:46 PM,Milty Mathis
LI22 0851 2CX5 NJK2 RWYE N,DEO,$68.13,8:10 AM,10:53 PM,Ryley Ferneley
EE47 2923 5540 0211 4736,ATV,$38.12,9:05 AM,7:28 PM,Mallissa Gowlett
GT26 DZGH C7G5 ETYO JJXR JH3K 8XJL,DWAC,$50.78,9:31 AM,9:35 PM,Ollie Beardon
SA77 15YL KL3R FI4Q MHCP PEW6,AXAR,$41.86,8:40 AM,6:17 PM,Fremont Marchington
CR60 9355 8717 1944 6500 7,WRB^C,$35.00,9:36 AM,7:01 PM,Abba Heibel
AZ96 OVAS RLDU N8W4 SQJC RK8M EU2P,NSH,$46.88,8:16 AM,6:53 PM,Maisey Anespie
TR70 8222 6GBA VXOS E3H8 F0G8 0B,ERIE,$77.95,8:08 AM,7:56 PM,Donella Swanne
PS64 JAUQ IQOO TBI8 IYMH OFKS RCGY O,MNTA,$45.02,8:41 AM,9:14 PM,Helenka Cousins
FR97 2310 7316 88JB FO6I O6RY G43,HBAN,$90.76,9:27 AM,6:10 PM,Devy Grissett
NO46 7808 8708 880,VKQ,$62.51,9:21 AM,7:48 PM,Carrol Rowe
IT71 L989 6427 857V QB45 ZKSR III,GAB^H,$65.65,8:31 AM,7:48 PM,Quinn Flacknoe
SM67 P461 7306 2168 AEWR M0M4 NC3,LGI,$72.94,9:18 AM,6:37 PM,Collette Martinello
HR64 8414 7969 4894 1985 3,EBMT,$68.96,9:08 AM,6:35 PM,Barbette Yetton
GB18 FCNA 1312 4682 6485 94,ENG,$33.68,8:12 AM,9:11 PM,Ellswerth Dobie
LI27 6488 5PQU 20JV YMPA 5,MUH,$50.26,8:45 AM,6:39 PM,Barrie Barrowcliff
LB05 7190 WDNU UQMF YYKC 3J8T XP2P,GNTX,$65.01,8:26 AM,7:57 PM,Adrien Silverson
SI42 8799 4381 5106 324,ACRX,$95.89,9:32 AM,9:00 PM,Robert Cheshire
TR69 0478 0TDD JLUZ PRXA IZZE 6L,GLOG,$67.06,8:52 AM,10:18 PM,Elly Shewry
FO34 8324 9697 2147 96,HCSG,$49.45,9:24 AM,8:51 PM,Ally Erington
BR97 7996 5030 5302 9717 9894 859E S,WCC,$89.13,8:18 AM,9:41 PM,Dermot Blackler
RO35 XCZH ATZW LZAZ HG9P 4AGJ,CYBR,$50.31,8:54 AM,9:50 PM,Mildrid Kuhle
FR39 6224 4273 07LF VXUB SYZQ R98,LVLT,$35.49,8:26 AM,6:23 PM,Janeen Ryam
BA52 1828 4156 1170 8953,CLNT,$92.10,8:32 AM,7:51 PM,Tiphany Philipet
SM96 J212 4877 541U RVA1 XPTH CDK,WPG^I,$73.71,9:31 AM,9:15 PM,Lennard Dalton
KW95 YNXG YVGH K9IF A8DW 1NBC K4NN GY,GNCA,$59.71,9:20 AM,10:54 PM,Zebulon Burmingham
MC45 7907 8481 08OQ 9PZJ ATBX T05,ICON,$73.90,9:38 AM,7:48 PM,Simonette Corten
SK56 5236 5592 1986 6100 9148,BNJ,$38.05,9:24 AM,10:14 PM,Ileane Riep
FR59 4704 0458 77UP MRIN AP26 R37,ADUS,$77.82,8:48 AM,6:26 PM,Alexandre Huggins
AT72 8249 9702 5250 6706,LLEX,$82.84,8:21 AM,10:49 PM,Christa Carr
FR89 0266 6883 889K ARXC 44WJ Y70,FAST,$38.97,9:02 AM,7:03 PM,Edy Osgarby
TN26 4607 2154 8314 2352 8855,OMN,$80.60,8:59 AM,6:10 PM,Penelope Boffin
MR97 7440 9338 8745 9032 2312 775,PHI,$76.16,9:11 AM,6:12 PM,Cindie Rosenstock
SE88 5085 7392 2322 4707 7475,LAYN,$70.37,9:43 AM,7:03 PM,Charleen Copcutt
BE97 2036 2587 7937,STLRU,$94.76,8:48 AM,6:01 PM,Julina Milne
LU61 614B PFZB HGMW KJA3,SPKEP,$89.01,9:40 AM,8:20 PM,Egbert Biaggioli
LV90 VHHE BLS3 YNC4 2NIV D,COHR,$62.36,8:46 AM,10:38 PM,Dolley Benjefield
MU57 XJFZ 1395 7343 7155 4746 971U VG,DL,$37.15,9:18 AM,6:39 PM,Emmie Sharpley
FR84 1221 2175 06VQ YTYS AKYF R08,QUMU,$67.34,8:26 AM,7:18 PM,Arlen Cannaway
FO61 1314 7131 1093 93,IMI,$35.46,8:46 AM,10:27 PM,Claybourne Nutten
NL29 CXJF 7540 2519 93,NBN,$62.94,9:07 AM,9:00 PM,Ainslie Le Surf
GT18 3MFJ QQ82 JUMU 3NXO LAWV QLM4,BOSC,$80.70,8:41 AM,6:07 PM,Johanna Lemm
KZ07 858H VNOM 5RWC JKVS,NMK^B,$61.46,9:07 AM,7:47 PM,Parker Robison
DO09 DY5O 9969 5419 3190 3831 5184,OMAA,$75.34,9:29 AM,8:04 PM,Cart Bardsley
FO03 8380 9998 2573 48,AMPH,$48.10,8:33 AM,8:54 PM,Brett Regi
GI96 EYSF VRCJ G81S OP2E OXY,ZAYO,$53.63,9:19 AM,7:04 PM,Kendricks Malitrott
IE04 OMNM 9062 1519 0606 34,SHLD,$97.43,9:31 AM,10:51 PM,Clerkclaude Hellmer
GR76 4874 082B GYXH N4AS Y2CB P8T,GNL,$95.78,9:30 AM,9:15 PM,Daphna Shearwood
ME36 1220 9585 0568 3115 02,ATVI,$92.97,9:55 AM,9:41 PM,Xenos Snowding
AL42 7418 5445 QHIG XYRW BHSE COHO,USAP,$83.80,8:50 AM,10:42 PM,Morrie Sheerin
ES34 4544 1728 7903 1900 4760,GUT,$50.91,9:55 AM,10:27 PM,Jo Crace
BR18 6696 7766 0714 7039 6509 268P B,SCL,$96.79,9:55 AM,8:12 PM,Mort Skatcher
FO82 8441 5814 9232 67,UBS,$31.28,8:17 AM,9:16 PM,Arabella Whiston
HR07 8340 0207 9651 6806 3,POLA,$78.72,9:54 AM,9:13 PM,Nikola Degnen
FR89 1756 6328 278N WTYO UP0J K05,AXS^E,$79.88,8:18 AM,6:00 PM,Alisha Chellam
SE60 9869 1273 7952 2774 9077,DTEA,$90.35,8:16 AM,7:58 PM,Clarence Dickin
LU24 6950 B1HZ 6INO GQ8E,CORE,$62.08,9:31 AM,6:36 PM,Brianna Perfitt
TR37 6228 4RGB LPYG 2I7H OFUX WW,HBMD,$42.93,8:29 AM,9:51 PM,Galven Crocombe
AE11 4235 4314 1353 0657 030,GLAD,$52.82,9:02 AM,10:54 PM,Bryant Scarff
LT89 4889 3618 8252 8874,NXJ,$76.64,9:30 AM,8:36 PM,Robin Dunnion
KZ11 030O NKF7 4YSK RTAU,CUNB,$72.55,8:08 AM,7:10 PM,Joyan Dawdry
SA25 909L VMGW KPAC JURC OUZB,ECR,$66.71,8:48 AM,7:17 PM,Odo Mughal
BG65 EHDL 7178 38RI DLLS BV,PGNX,$36.47,9:31 AM,8:26 PM,Arnold Trimmill
FR04 4077 9112 923L SB1G JUZ2 J04,SMMF,$73.01,8:15 AM,7:46 PM,Cate Cannaway
DE10 1479 8857 5727 3150 02,AXAS,$52.77,8:15 AM,8:39 PM,Cordie Triggol
PK09 PGSZ M4RY U232 Y10F W04O,KKR,$66.64,9:54 AM,10:59 PM,Evin Bette
FR59 7677 2126 53A7 DZGX CVXT C40,PFMT,$49.90,9:00 AM,9:45 PM,Rani Kinze
GI02 MCIY GWOY QRO2 APGP BTH,CAA,$81.82,9:50 AM,10:18 PM,Bridie Jimson
NL33 NBUP 4887 1337 49,NDLS,$47.39,9:48 AM,10:05 PM,Nelie Bullocke
MR30 1962 0745 8585 4739 6217 682,KRC^H,$80.60,8:54 AM,8:15 PM,Evangelin Pashler
CH59 5137 9RAS 2OCD JHZC Y,RNP,$66.77,8:33 AM,8:19 PM,Emilio Jilliss
PS75 LVDM E60M GPIZ BFCH GKOF LZZ3 Z,AKR,$40.81,9:14 AM,8:30 PM,Merridie Longhorne
EE25 5567 6477 8374 9621,SUP,$46.65,9:57 AM,9:47 PM,Andras Amis
MU73 OBAM 1286 5922 6361 6986 660F JK,K,$87.41,9:35 AM,7:35 PM,Flin Fairpool
DE52 7614 2139 0432 9583 63,MNI,$43.73,9:03 AM,9:14 PM,Aloin Corbridge
NO46 3375 2317 771,CE,$32.09,8:58 AM,8:06 PM,Kahlil Russan
VG32 YOKY 7968 0846 2578 8516,DOV,$94.10,8:03 AM,10:35 PM,Oberon Blanchflower
DE62 4878 7000 1275 2454 97,NBB,$88.99,9:13 AM,9:19 PM,Hatty Garrique
PS55 WMLP BHQY GPEY GI5D 8OJU XU5V X,GPIC,$70.77,9:46 AM,10:37 PM,Neill McCathy
NL53 OOQW 1695 2434 14,SMBC,$73.70,8:29 AM,8:02 PM,Fania Burger
HR95 6284 2680 9871 5784 5,RBS^S,$71.89,8:31 AM,8:15 PM,Erie Whapham
PT73 4377 0502 2479 8419 3987 1,TTI,$82.14,9:27 AM,10:14 PM,Talyah Billin
LB51 4084 1FTF YTFB TIGZ FBEW HDOP,FPH,$48.54,8:32 AM,10:02 PM,Cody Gribbell
FR45 9573 3772 11X8 U7FQ KFXE M32,RSO^C,$91.75,8:15 AM,7:20 PM,Gard Blatchford
DK48 1619 7932 1166 63,MATR,$90.80,8:18 AM,7:58 PM,Killy Breinlein
TN21 5764 8209 9498 3130 3266,GTYHW,$84.75,8:47 AM,10:43 PM,Khalil Lidster
GT85 KYKB KCQ0 3QY1 UW9Z RRB8 DEU0,SFUN,$85.65,9:24 AM,9:33 PM,Deana Doerr
SI87 8603 6621 9326 959,RPD,$37.11,9:30 AM,9:26 PM,Rae Sopper
LU47 568P EBJJ MBNI ACSQ,VER,$37.00,8:10 AM,10:20 PM,Anne-marie Blockley
MT07 KGMR 7097 0N7G ZIPU FEHB X9RJ MPU,CIZ,$92.68,9:20 AM,10:22 PM,Kellen Joselevitz
IL07 5460 0597 9701 2660 476,ELJ,$95.44,8:36 AM,9:53 PM,Tomi Rissen
FR93 8505 7466 95YQ YGES OETC 158,SMSI,$40.83,8:37 AM,10:36 PM,Odey Djurdjevic
AT03 4265 3586 6149 5268,CG,$64.77,8:40 AM,8:14 PM,Imogen Triggel
AL19 6187 5598 8RVR EBFP X60A OCYG,VSTO,$56.06,9:11 AM,7:19 PM,Jeralee Neilan
SA23 76K5 VJP3 HI3S J6TA 51SX,TIL,$55.22,9:39 AM,6:20 PM,Vin Pittoli
IS52 9739 4788 2094 6749 3311 19,CNS,$37.36,9:18 AM,7:45 PM,Giacomo Ketton
FR21 4965 2360 61QD PEN0 ZXZH U69,ETB,$46.77,8:39 AM,10:39 PM,Doralynn Gissing
FR71 9603 9226 94BV JEE1 1LLI Q05,TFX,$64.82,8:58 AM,8:22 PM,Stefa Dumbleton
AZ18 WZQA LMVP GPXL 8WYF 9DBU VBHQ,FN,$87.68,9:58 AM,10:02 PM,Laryssa Gladman
RO95 ZGVW XEU4 QGSY KD2Y 8HNK,VEON,$56.57,8:22 AM,7:28 PM,Dayle Anselmi
SI12 5093 8620 4390 592,MRCC,$57.38,8:09 AM,7:20 PM,Michal Willford
PT54 7897 5458 6907 4734 9061 7,WING,$73.81,9:53 AM,8:14 PM,Lexi Kobierzycki
RO47 BTUV V5UY LCAZ OIBM JIHW,NKSH,$82.74,8:55 AM,6:05 PM,Sergent Charlesworth
CH47 1836 1H1M KRC6 EWX5 O,AKP,$50.23,8:56 AM,7:25 PM,Christophorus Drogan
LT38 9083 4266 8558 1609,GOGL,$68.30,8:53 AM,8:20 PM,Coop David
GR03 5251 681L YBTV J1FW SC26 GNC,KSU,$71.35,8:36 AM,10:33 PM,Marjie Freund
IT09 Y474 5070 4995 R2H5 DXE1 CIH,JHX,$93.09,9:09 AM,8:12 PM,Sarajane Tefft
BR08 5316 7742 2490 5971 3182 562V Q,NVDQ,$39.11,9:48 AM,8:19 PM,Jesselyn Bottrell
HR25 2548 8791 6478 9391 6,ETN,$64.51,8:52 AM,10:43 PM,Cirillo Salway
FR24 8211 0968 48RW LFVP NM9M E03,WRE,$64.31,8:24 AM,9:06 PM,Bride Tampen
EE71 0909 8699 6987 3675,MFA,$34.42,8:46 AM,10:58 PM,Marketa Gaynor
KW90 OCHU QQNC EBTI FONL UMC4 FLFS YX,SYNL,$58.81,9:33 AM,10:02 PM,Jon Secretan
RS70 2710 2055 3297 2468 63,SBH,$39.33,8:44 AM,8:08 PM,Octavia Ruddin
IE07 GVTK 7792 4107 2852 51,COWNL,$63.72,8:04 AM,9:08 PM,Basia Stare
MR41 3526 4677 0875 1878 2958 847,BEAT,$64.69,8:27 AM,7:09 PM,Cullen Attryde
TR55 6948 4OYF SAAM NOU6 UGKO X1,EAGL,$49.34,8:43 AM,7:50 PM,Clemence Coyle
LI57 6915 5GNY U97F 3YNT 8,MHNB.CL,$54.87,9:06 AM,10:04 PM,Cesare Postance
SM05 C704 4144 591I K2YJ EDLX UUH,WTFCM,$75.36,9:31 AM,7:29 PM,Janet Everett
ME19 6843 9518 8558 4185 53,NUW,$39.82,8:57 AM,7:04 PM,Emelita Albone
KW57 DXLW Z6H1 8YZO 9OCG DGXP 9EXR KR,FBHS,$90.60,8:14 AM,10:33 PM,Red Vassman
TR09 3516 2HUP INX6 YMMP 7F6J XB,CSWI,$49.96,9:39 AM,10:27 PM,Clint Fruish
MU70 RPYP 1410 6932 1698 2695 811W BQ,ABBV,$84.07,8:42 AM,6:59 PM,Fredric Lambart
DE84 6697 6861 3658 7987 79,ATKR,$77.27,9:15 AM,9:56 PM,Griselda Cheer
FR69 1999 6169 80YZ RCJV GWXJ 788,KTWO,$46.98,9:31 AM,10:09 PM,Caspar Shervil
MD05 YPFM RSWN UO7E H7WL CXS9,JHG,$78.06,8:12 AM,10:23 PM,Arnoldo Whistan
GI50 YCEN XPRI T8QK L8CN 3UH,NXTM,$73.23,9:36 AM,6:46 PM,Darlleen Bifield
DE54 1862 1792 9233 7617 44,TRUE,$32.72,8:52 AM,8:30 PM,Renie McAree
MT55 RFDN 9716 4EJ2 C6DJ KTOF CJMO ITH,SHBI,$90.26,9:53 AM,9:55 PM,Basilius Hankey
MC10 3452 9898 37RA HXIQ WUKS D85,ERJ,$89.63,8:00 AM,6:07 PM,Hillary Melby
IL42 6948 0850 6266 7970 983,BXMT,$68.58,8:57 AM,7:14 PM,Jamesy Stapleton
MT14 JGZI 6997 3PG1 WBUW IV6Z TJ6M RW4,BOH,$43.63,9:46 AM,6:17 PM,Marianna Otley
PL27 0486 2831 4922 3305 6396 3402,ANDAR,$33.22,8:58 AM,9:34 PM,Emalia Powling
GI06 PKJE T0UI GPO3 URXU UV3,EPR^C,$79.25,9:38 AM,10:12 PM,Milena Catherick
GE58 RU69 9078 6550 5535 08,STZ,$67.66,8:52 AM,7:35 PM,Paulina Ply
FR19 4948 9369 92WK 1UWS PRKX L35,TRNO^A.CL,$91.15,8:14 AM,9:58 PM,Si Roycroft
MK26 703B B2O1 VDDP L04,LECO,$69.74,9:22 AM,10:00 PM,Nonnah Pettersen
CY85 1385 3922 F8XV DBOM Y9IK IHQO,SVU,$88.78,9:22 AM,8:42 PM,Monique Corr
AZ52 UOSL PWYK BYZQ QSGV 93MN QOAQ,JAZZ,$78.90,9:56 AM,9:31 PM,Corella Rollings
FR93 0134 3887 416M A6UZ 4UDW H48,NEE^I,$37.76,8:39 AM,6:59 PM,Pierette Siehard
GE15 QR20 2805 5518 5232 13,RDVY,$38.65,8:40 AM,10:23 PM,Frasier Chavrin
DK32 4150 8078 2792 14,CELH,$57.14,9:15 AM,7:49 PM,Trevar Balogh
LT14 1811 8742 1634 4485,REIS,$83.99,8:24 AM,10:36 PM,Palm Isbell
IL33 5838 2734 1751 6132 254,MLI,$52.66,8:37 AM,6:29 PM,Belita Bowen
LU49 581C JRP1 AHNW HHOY,KIO,$34.42,9:48 AM,8:20 PM,Wittie Minillo
LI37 3808 8GTL 08J5 XTFK S,NTWK,$68.14,9:28 AM,6:05 PM,Kiel Barnby
FR03 5057 6257 97HH KOBT SKFN G99,CHU,$30.03,9:16 AM,6:13 PM,Aile Muller
DK58 6550 3994 6796 87,ACGLP,$97.90,8:15 AM,10:58 PM,Roxy Van Merwe
FR13 6059 5597 50IH XMWJ YHB0 G16,CVGI,$67.02,8:13 AM,8:18 PM,Rhody Honeywood
GL83 3818 5444 6908 68,ICHR,$60.95,8:46 AM,10:54 PM,Kile Guynemer
MK48 671W SVWY MZ12 K69,CRDT,$46.97,8:21 AM,9:24 PM,Chester Rains
AL33 0439 3675 M1FN 9BWK LSYR SZVH,JNCE,$60.40,8:46 AM,10:03 PM,Essa Moulden
BH48 ZRAB VF3L CEX3 VPQ5 4R,AMGN,$41.83,9:14 AM,10:56 PM,Leonerd Pitcaithley
LU08 096V EE6G RRAY D9KW,SSW^D,$60.47,9:51 AM,10:30 PM,Conrade Sargeaunt
FR56 6913 9200 73UR HT7B RKIJ C65,CLNS^B,$73.37,9:43 AM,7:35 PM,Emanuel Treece
SK63 0147 8049 7661 6320 3681,CFX,$31.79,8:25 AM,8:39 PM,Hanny Elmore
FR62 2706 4428 27ET 9OAM ZQBB P66,NVDQ,$95.27,9:49 AM,8:00 PM,Jacinthe Hoyle
GE59 KG72 5318 8509 9757 14,GJH,$96.31,8:04 AM,10:37 PM,Mervin Utley
ME73 4368 8014 9386 5482 98,TOPS,$51.44,9:01 AM,8:01 PM,Filmer Mourant
FR35 7401 1456 66AY TKCQ JGVF X32,EXXI,$40.98,8:26 AM,10:36 PM,Jock Spohrmann
ES77 5356 9707 7696 7687 5443,ADTN,$86.10,9:53 AM,6:17 PM,Kandy Dearnaley
FR26 0965 6249 74LD 8PSK QLDL D58,NSH,$59.57,8:35 AM,10:40 PM,Car Lonsbrough
FR23 9498 8100 05PA FV8I OVYS Q10,OLD,$50.38,8:22 AM,10:21 PM,Frazier O'Shea
LV82 WERB JGKB AW8L FXEX B,TORM          ,$48.66,9:45 AM,8:31 PM,Tedie Plowes
AE83 3268 2810 6481 8985 252,OKSB,$99.81,9:57 AM,8:19 PM,Drusi McMackin
IS62 3727 2897 1323 6412 9755 69,VRX,$59.27,9:40 AM,6:58 PM,Sheela Betts
DE09 2527 1627 9146 0101 46,ARGS,$66.46,9:40 AM,8:31 PM,Andrea Elverston
FR93 8318 8636 51FQ HAHE BNXP F80,MSFT,$48.07,8:06 AM,6:08 PM,Jemie Massei
FR12 9170 0622 18UK VJVO Q1VL F38,MSON,$71.17,9:20 AM,10:37 PM,Chris Winterburn
FR22 4444 0377 52FX 77IV QL1U F78,SOR,$98.21,9:54 AM,7:32 PM,Jaimie Boules
IT97 U352 5065 371P GCKT 8O8D CQJ,SKOR,$79.00,8:11 AM,6:25 PM,Annalise Weathey
MT32 UNIY 0639 4YCR VCMX 7JKN BTDK NSA,CUBI^F,$95.41,9:59 AM,8:05 PM,Kamila Noblet
FR33 5553 2292 00G1 WT0S X3SD G03,CERU,$68.98,8:44 AM,8:54 PM,Darcy Seal
LU26 237L Q9WN MHDK RL6X,WCST,$30.57,9:51 AM,7:28 PM,Fredric Swaite
FO03 5205 1282 3196 19,MHF,$77.65,9:56 AM,8:31 PM,Esma Fickling
CR92 3834 3528 7837 6849 1,ABX,$67.11,8:22 AM,8:05 PM,Corry McMeeking
FR88 6044 9815 10KD GNWY BOB1 G30,SSWN,$79.22,9:59 AM,10:41 PM,Pietra Cammish
FR96 0937 2348 7052 LDSX 8PYS C63,ORI,$40.13,8:10 AM,10:11 PM,Krystal Chapelhow
PL82 5742 3600 3575 5116 8220 2775,VAR,$42.28,9:35 AM,6:23 PM,Alica Ravillas
IS43 5002 4748 2877 2598 6701 09,WFC^R,$83.14,9:06 AM,6:19 PM,Wernher Packer
BR20 7498 9130 7730 1539 9604 818V H,VIRC,$41.25,9:01 AM,9:21 PM,Hollie Earland
LT28 4557 7607 9838 9192,FMCIR,$47.77,8:18 AM,6:41 PM,Batsheva Katte
FR15 9152 3207 67FZ QOVI OHUU T81,RKDA,$60.68,8:34 AM,9:05 PM,Yvonne Nansom
LV71 YFBH XVPW YDNK MIMW S,RNR^E,$99.96,8:11 AM,10:35 PM,Aggi Pifford
HU77 5357 8767 4087 4722 2794 4709,IFN,$46.01,9:47 AM,10:57 PM,Grover Nowakowski
KZ94 2145 BOTE T8YF BN2C,INSI,$30.56,8:34 AM,9:15 PM,Giuseppe Sidden
LV66 YAQY DGOJ X7DY E5QC M,RDC,$36.91,8:06 AM,8:52 PM,Rusty Nutley
GL08 4670 6847 7898 08,HTLF,$57.10,9:28 AM,6:17 PM,Sidoney Tourry
IT13 B607 1529 270A BMZC ZLH6 75Z,HTLD,$89.31,9:31 AM,6:16 PM,Kelcy Mulhall
SK77 0488 3900 8337 3104 8337,NYMX,$80.59,8:01 AM,9:36 PM,Lillian Camilleri
SI66 8408 0718 0694 927,PFK,$72.41,9:57 AM,9:09 PM,Ddene Doleman
MK76 965H CQHH 5WI3 H79,TMHC,$31.43,9:03 AM,10:23 PM,Emmalynn Ameer-Beg
CH93 5337 1RAN DNY8 N9II C,QHC,$84.83,9:54 AM,7:55 PM,Germana D'eye
GE49 FW52 0037 4056 0958 62,PH,$59.10,9:02 AM,9:42 PM,Delly Abelevitz
KW65 JTHN CT7R FB6A 4ZYE WLBN PXWH CD,PEY,$47.97,9:50 AM,7:16 PM,Antonin Pantry
BR52 2564 4843 4636 0630 2433 394W A,GTT,$88.44,8:59 AM,8:05 PM,Kizzee Defraine
MU93 MYMD 4661 1810 0336 0534 723Y IA,PKG,$97.56,9:55 AM,10:47 PM,Fredericka Mayoral
MU22 AQAS 5856 3859 4351 2628 551O LZ,ISRL,$77.93,9:49 AM,10:15 PM,Jodi Kelberer
FR06 6381 0508 42JS FMOW 0JHU 528,GRMN,$82.76,8:50 AM,7:04 PM,Conny Slegg
FR35 5028 1351 32QV D89O L1BW 800,MCR,$84.79,8:17 AM,6:17 PM,Jarad Ketch
BR80 7359 2147 1140 5060 5246 474X K,PF,$95.68,8:01 AM,10:25 PM,Heddi Drezzer
IL34 9140 2119 5114 1216 656,OKSB,$37.59,9:06 AM,6:02 PM,Adiana Annear
SE38 2849 1840 2826 3878 1207,VEC,$60.10,9:21 AM,6:40 PM,Mariel Ghirardi
KZ78 906D DCEB FYZK TWKK,EVH,$94.20,8:44 AM,9:38 PM,Edlin Runsey
BA18 7556 5874 2703 2830,LKSD,$89.68,8:43 AM,10:51 PM,Cassie Hegdonne
FR62 9224 2392 90SB JYMZ JRSI Y28,SHPG,$70.19,9:17 AM,9:59 PM,Eugenie Romaynes
FR32 5251 0054 06DP QSS1 Z26Z E71,TAYD,$58.04,9:27 AM,8:06 PM,Byrann Zouch
GR10 4296 338S UNXU 7T6E NDDX LBI,MPB,$50.01,9:09 AM,8:02 PM,Torre Dislee
BE79 4663 4520 1080,LQDT,$58.61,8:59 AM,6:50 PM,Bron Diglin
FR95 2308 5933 158I K1PH 8E8W G23,SHO,$44.18,9:57 AM,10:56 PM,Dorthy MacCambridge
FR29 6995 1345 849U DLKU EHTH A40,GRA,$79.32,9:36 AM,9:58 PM,Gottfried Roistone
RS97 4643 8361 4259 4136 58,FFBCW,$74.27,8:23 AM,7:40 PM,Clerissa Denekamp
DE19 2059 0673 9609 4493 52,CHFN,$83.33,8:23 AM,10:07 PM,Everard Dilston
BA71 3056 8416 4305 7914,MPW,$75.47,8:16 AM,10:28 PM,Nial Musprat
FR35 7177 3522 96UH 4RIP WICH 541,MHO,$83.42,9:24 AM,7:36 PM,Jorgan Fishley
AE15 2213 1061 1466 2972 948,GOLD,$48.51,9:05 AM,7:49 PM,Bentley Sutcliffe
CZ43 9081 3756 6527 8544 5638,SVA,$44.22,9:47 AM,6:23 PM,Rab Chubb
MR24 0693 2164 7675 1993 5870 192,APC,$96.74,8:16 AM,6:33 PM,Samaria Quigg
SK38 2445 4976 1677 9122 7154,BTEC,$56.67,8:04 AM,6:58 PM,Amy Quig
TR78 5143 6Z0P 5MUU OAZ2 BF5K TQ,WU,$79.36,9:14 AM,10:29 PM,Neville Cartmel
GI13 YSBH ZFBK K9SG G416 QDO,CLRBW,$99.48,9:31 AM,6:23 PM,Peyter Gelardi
IL51 8987 8357 9710 2493 592,VRNA,$71.29,8:00 AM,8:43 PM,Luke Asplin
FR24 2715 4222 16RJ CI4E FZAR H07,CCOI,$76.05,8:05 AM,9:31 PM,Bucky Greenset
FR60 2755 7917 84YT SRDX 6RRR S01,HPE,$56.26,8:35 AM,6:34 PM,Seana Stilling
HU82 8484 1419 0251 3268 0025 4110,ITG,$44.59,8:11 AM,6:01 PM,Eustace McJury
IE50 FXEM 2123 3101 3333 80,SINO,$94.30,8:40 AM,10:05 PM,Morie Siward
VG31 FDDD 8820 8031 8260 4926,DRH,$54.11,8:34 AM,8:59 PM,Sada Oneil
RS51 9019 9084 8912 1761 18,WPG^I,$79.53,9:05 AM,8:19 PM,Anson Chantillon
BH19 OIZX 9SPX RIPR SCUF BM,MUC,$90.10,8:55 AM,10:24 PM,Collette Matyushenko
IS74 0178 5810 9555 4334 1611 97,GNVC,$77.18,8:03 AM,8:20 PM,Florinda Devanny
AL34 3619 9239 K0FU XAOS TKQS ADKM,NXEO,$94.62,8:10 AM,6:38 PM,Jeri Roblin
BA17 4597 6469 4914 1224,BPL,$72.97,8:11 AM,8:47 PM,Walden Witard
FI48 1208 9326 3363 07,MTBCP,$81.97,8:49 AM,7:37 PM,Letisha Housley
AE93 5616 5683 6949 8234 481,HUBS,$46.59,9:36 AM,8:41 PM,Leontyne Bachanski
VG88 CUYQ 4889 0323 7772 2401,X,$71.53,9:24 AM,9:34 PM,Lynsey Crissil
AL67 7687 2143 HOF5 RFQG HX0A T6C0,ACCO,$87.91,9:14 AM,10:12 PM,Leighton Goldstein
DK58 8482 2887 1721 03,STRS,$84.69,8:21 AM,8:28 PM,Chrisy Peirone
MU98 WAWL 6205 7490 2360 5651 304K HQ,GWRE,$85.55,8:47 AM,10:49 PM,Erina Harding
BE05 4402 4063 9333,NGS,$84.03,8:33 AM,10:30 PM,Nicolis Castellini
SE41 4332 1762 0037 5069 4816,SIX,$87.03,8:36 AM,9:59 PM,Demetri Lissaman
FO48 6603 1007 2778 11,IEX,$61.06,9:19 AM,6:16 PM,Gilburt Shatliff
FR42 2320 6798 11T2 X97C XT4C R83,DEL,$91.57,9:19 AM,9:50 PM,Rivy McGeoch
DK97 4527 0966 7269 78,MMAC,$54.66,8:19 AM,6:09 PM,Emylee Burborough
DE04 7860 2853 5627 0497 43,DIS,$66.08,8:31 AM,9:15 PM,Guglielma Fernez
AZ70 ZFJU CFOF MHH8 UJTC WVAV GNIY,SGH,$74.02,8:21 AM,10:36 PM,Norma Menhci
FR06 5513 1565 45JK GKSU UREC R33,PIE,$61.36,9:49 AM,10:31 PM,Addie Prando
ES75 3706 3951 6777 8927 5965,OMAM,$40.28,8:09 AM,7:00 PM,Estelle Drinkwater
PS87 YFCA 01C6 HLQW ZGYR IQHI 5OVV A,INVA,$87.70,8:24 AM,6:05 PM,Raff Durran
TR18 7782 1V02 TWW3 BUHX IDNI LF,UCBA,$58.83,9:59 AM,10:03 PM,Samara McColm
LB45 3624 IYDO 0HIF DJ7X HM3K 2VIQ,FLN,$33.63,8:26 AM,6:07 PM,Vince Hoodlass
RO47 LZJA T0PD LTOX XFCU NJB3,LGCYO,$40.92,9:10 AM,9:33 PM,Elijah Laux
FR28 6322 5409 07HB AMTZ 3AKL P27,LTRPB,$60.80,9:55 AM,7:20 PM,Faith Pechell
